"37","OUTSIDE EVENTS","outside-events","Rue du Chirmont 86",,"Comblain-fairon",,"4180",,,,,,,,"0",,,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.5486722000","50.4432373","13","34","62","1","0",,"outside events, comblain,comblain-fairon,4180","629"
"38","PROV-LG INSTITUT D'ENSEIGNEMENT SECONDAIRE DE HESBAYE SITE CRISNÉE (IPES)","institut-provincial-hesbaye","Rue J. Stassart 15",,"Crisnée",,"4367",,,,,,,"5-_ipes_crisnée.jpg","0","POSITION : situé dans le couloir de la direction au 1er étage.",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.3910662000","50.7093999","16","34","62","1","0",,"crisnée,institut provincial, hesbaye, enseignement secondaire,4367","628"
"39","INTERMARCHE DISON","intermarche-dison","Rue Neuve 6B",,"Dison",,"4820",,,,,,,,"0","<p>POSITION : situé aux caisses</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.8563973999","50.6060528","13","34","62","1","0",,"dison, 4820, intermarché","627"
"40","KNAUF","knauf","Rue du Parc Industriel 1 ",,"Engis",,"4480",,,,,,,,"0","<p>POSITION 1 : situé au bureau des contremaître</p>
<hr class=""system-pagebreak"" />
<p>POSITION 2 : situé dans le réfectoire du bureau administratif</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.3969908999","50.5728553","13","34","62","1","0",,"Knauf, engis, 4480","626"
"41","CARMEUSE SA","carmeuse-sa","Chaussée de Ramioul 1",,"Engis",,"4480",,,,,,,,"0","<p>POSITION : situé au rez-de-chaussée vers le bureau maintenance</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.4141190000","50.5810057","13","34","62","1","0",,"ramioul, engis, 4480, carmeuse, siege d'engis","625"
"42","HYDRO ALUMINIUM","hydro-aluminium","Siebeponisweg 12",,"Eupen",,"4700",,,,,,,,"0","<p>POSITION : situé à l'atelier</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","6.0076685999","50.6482681","12","34","62","1","0",,"eupen, 4700, hydro aluminium","624"
"43","HEXPOL COMPOUNDING","hexpol-compounding","Industriestrasse",,"Eupen",,"4700",,,,,,,,"0","<p>POSITION : situé à l'atelier de fabrication</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","6.0059053999","50.6399159","13","34","62","1","0",,"eupen, 4700, hexpol","623"
"44","MATCH EUPEN","match-eupen","De Herbesthal 203 ",,"Eupen",,"4700",,,,,,,,"0","<p>POSITION : situé à l'entrée, aux caisses scan</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","6.0173343999","50.6386236","13","34","62","1","0",,"eupen, 4700, match","622"
"45","MITTAL FLEMALLE","mittal-flemalle","Rue Maréchal Foch 21",,"Flémalle",,"4400",,,,,,,,"0","<p>POSITION : situé dans le hall d'entrée principale</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.4725151000","50.5987152","12","34","62","1","0",,"flémalle, 4400, arcelor, mittal","621"
"46","MITTAL CENTRE ACIER","mittal-centre-acier","Rue de la Digue 22",,"Flémalle",,"4400",,,,,,,,"0","<p>POSITION : situé au rez-de-chaussée dans le local du dispatch</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.5246766000","50.6185868","13","34","62","1","0",,"flémalle,4400,centre acier, mittal","620"
